鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),使用分區或編定,非都市土地使用分區,非都市土地使用地,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),交易標的橫坐標,交易標的縱坐標
中山區,房地(土地+建物),臺北市中山區吉林路351~400號,3.76,住,,,10109,土地1建物1車位0,六層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,681219,23.15,1,1,1,有,有,有,7000,302,,0,0,303556,2773068
大安區,建物,臺北市大安區忠孝東路四段101~150號,0,住,,,10108,土地0建物1車位0,九層,12,辦公商業大樓,,鋼筋混凝土造,,252.87,5,2,2,有,有,無,130000,514,,0,0,305314,2770451
士林區,房地(土地+建物)+車位,臺北市士林區忠誠路二段10巷1~50號,45.51,住,,,10108,土地1建物1車位0,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,810331,131.74,3,2,2,有,無,有,38000,343,坡道平面,35.61,0,303235,2777985
士林區,房地(土地+建物),臺北市士林區克強路10巷19弄1~50號,35.9,商,,,10108,土地1建物1車位0,一層,5,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,700108,131.1,5,2,2,有,無,無,33000,252,,0,0,302811,2778027
北投區,房地(土地+建物),臺北市北投區榮華一路15巷1~50號,26.1,住,,,10108,土地1建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,721108,91.49,2,2,2,有,無,有,22500,246,,0,0,302856,2778232
內湖區,建物,臺北市內湖區港華街51巷1弄1~50號,5,,,,10108,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),見使用執照,鋼筋混凝土造,701021,16.53,1,1,1,有,無,有,9000,544,,0,0,308138,2775074
文山區,建物,臺北市文山區新光路一段101~150號,22.5,住,,,10109,土地0建物0車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,67.36,4,1,4,有,無,有,7000,104,,0,0,307941,2764918
文山區,房地(土地+建物)+車位,臺北市文山區木柵路四段149巷1~50號,18.33,商,,,10109,土地1建物1車位1,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,981130,110.39,2,2,1,有,無,無,23000,208,升降機械,17.68,0,308001,2765818
文山區,建物,臺北市文山區臺北市文山區興隆路二段203巷51~100號,0,,,,10108,土地0建物1車位0,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,860623,78.03,2,2,1,有,有,無,15000,192,,0,0,305237,2766228
大同區,建物,臺北市大同區迪化街二段180巷1~50號,25.21,住,,,10108,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,750912,92.09,3,1,1,有,無,無,16000,174,,0,0,301424,2773337
松山區,房地(土地+建物),臺北市松山區復興北路151~200號,4.13,商,,,10108,土地5建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,46.99,0,0,0,無,無,無,18000,383,,0,0,304951,2771894
信義區,建物,臺北市信義區和平東路三段1~50號,0,住,,,10109,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,72.44,3,1,1,有,無,有,17000,235,,0,0,306398,2768124
松山區,建物,臺北市松山區光復北路1~50號,0,工,,,10108,土地0建物1車位0,十層,12,廠辦,見使用執照,鋼筋混凝土造,820414,314,0,0,0,無,有,無,99750,318,升降機械,0,0,306334,2771415
松山區,建物,臺北市南港區玉成街51~100號,0,商,,,10108,土地0建物1車位0,四層,17,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,931216,214.97,3,2,2,有,有,有,90000,419,坡道平面,40.41,0,308761,2771166
中山區,建物,臺北市中山區中山北路二段16巷1~50號,103.3,住,,,10108,土地0建物0車位0,五層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,930629,131.01,3,2,2,有,有,有,82000,626,,0,0,302692,2771720
中山區,房地(土地+建物),臺北市中山區長春路151~200號,7.12,商,,,10110,土地1建物1車位0,一層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,831014,84.08,0,0,0,無,有,無,130000,1546,,0,0,303843,2771956
中山區,建物,臺北市中山區中山北路一段83巷1~50號,42.34,住,,,10108,土地0建物0車位0,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970314,90.64,3,3,2,有,有,有,60000,662,,0,0,302909,2771376
內湖區,房地(土地+建物)+車位,臺北市內湖區金湖路51~100號,22.66,商,,,10109,土地1建物1車位1,二十四層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,961030,210.42,3,2,3,有,有,有,86700,412,坡道平面,35.93,0,310241,2774899
內湖區,房地(土地+建物),臺北市內湖區成功路二段501~550號,101.67,住,,,10110,土地1建物1車位0,三層,10,辦公商業大樓,商業用,鋼筋混凝土造,870122,156.56,0,0,0,無,無,有,44000,281,,0,0,309509,2774114
內湖區,房地(土地+建物),臺北市內湖區成功路三段187巷3弄1~50號,30.33,商,,,10109,土地1建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690603,99.09,2,2,2,有,無,無,30000,303,,0,0,309566,2774713
士林區,房地(土地+建物),臺北市士林區天母東路43巷4弄1~50號,32.55,住,,,10108,土地1建物1車位0,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,690325,144.02,0,0,0,無,無,無,48000,333,,0,0,303731,2779023
士林區,建物,臺北市士林區中山北路六段290巷1~50號,0,,,,10108,土地0建物1車位0,地下層,5,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,810903,83.1,0,0,0,無,無,有,23500,283,,0,0,303132,2777975
士林區,房地(土地+建物),臺北市士林區中山北路六段157巷1~50號,1.64,住,,,10108,土地1建物1車位0,四層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,971002,65.25,2,1,1,有,有,有,56000,858,,0,0,302833,2777684
北投區,房地(土地+建物),臺北市北投區稻香路161巷1~50號,8.24,住,,,10108,土地1建物1車位0,六層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,930312,42.54,1,1,1,有,有,無,11000,259,,0,0,299286,2781558
士林區,建物,臺北市士林區福林路100巷77弄1~50號,85.11,,,,10108,土地0建物1車位0,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,980316,216.66,4,2,2,有,有,有,70000,323,,0,0,303782,2776354
大安區,建物,臺北市大安區永康街14巷1~50號,0,,,,10108,土地0建物1車位0,一層,4,店面(店鋪),,鋼筋混凝土造,630706,102.56,0,0,0,無,無,無,80000,780,,0,0,303419,2769349
