鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),使用分區或編定,非都市土地使用分區,非都市土地使用地,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),交易標的橫坐標,交易標的縱坐標
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路二段253巷51~100號,4065,住,,,10108,土地1建物1車位1,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980923,88.7,3,2,2,有,有,有,36000,406,坡道平面,0,0,309340,2775245
大安區,房地(土地+建物),臺北市大安區和平東路一段1~50號,12.65,商,,,10108,土地1建物1車位0,六層,12,辦公商業大樓,見使用執照,鋼筋混凝土造,0780615,143.62,0,2,2,有,無,有,46000,320,,0,0,302819,2768827
大安區,房地(土地+建物),臺北市大安區安和路二段51~100號,7.09,住,,,10108,土地1建物1車位0,三層,19,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,73.19,2,1,1,有,有,有,37500,512,,0,0,305701,2769278
大安區,房地(土地+建物),臺北市大安區和平東路三段51~100號,4.43,其他,,,10108,土地1建物1車位0,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0681020,54.05,1,1,1,有,有,無,18000,333,,0,0,305439,2768631
大安區,房地(土地+建物),臺北市大安區建國南路二段294巷1~50號,23.27,住,,,10108,土地1建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0721129,117.02,3,2,2,有,無,有,30000,256,,0,0,304201,2768594
中山區,房地(土地+建物),臺北市中山區林森北路551~600號,9.37,商,,,10108,土地1建物1車位0,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000726,90.51,2,1,1,有,有,有,54000,597,,0,0,303098,2773174
中山區,房地(土地+建物),臺北市中山區建國北路二段201~250號,7.51,住,,,10108,土地1建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990924,153.34,3,1,2,有,有,有,65000,424,,0,0,304098,2772634
松山區,建物,臺北市松山區敦化北路145巷1~50號,0,,,,10108,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),,加強磚造,,16.6,1,1,1,有,無,有,9000,542,,0,0,305593,2771832
中山區,建物,臺北市中山區林森北路351~400號,80.25,住,,,10108,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0560825,80.25,0,1,1,有,無,無,31000,386,,0,0,303010,2772219
信義區,建物,臺北市信義區虎林街132巷1~50號,32,住,,,10108,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,78.6,3,2,1,有,無,有,16000,204,,0,0,308195,2770376
內湖區,房地(土地+建物)+車位,臺北市內湖區瑞光路151~200號,292,工,,,10108,土地1建物1車位5,七層,12,辦公商業大樓,工業用,見使用執照,0891106,292,4,0,0,有,無,有,155000,0,坡道平面,17,0,308205,2774160
中山區,房地(土地+建物),臺北市中山區長安東路一段1~50號,56.17,商,,,10108,土地1建物1車位0,五層,11,辦公商業大樓,商業用,鋼筋混凝土造,0650108,510.28,4,0,1,有,有,無,130000,255,,0,0,302806,2771363
士林區,建物,臺北市士林區德行西路1~50號,0,,,,10108,土地0建物1車位0,三層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0970502,48.45,1,1,1,有,無,有,20000,413,,0,0,302802,2777468
大安區,房地(土地+建物),臺北市大安區和平東路一段151~200號,15.12,商,,,10108,土地1建物1車位0,四層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0770210,158.71,4,2,2,有,有,有,50000,315,,0,0,303905,2768799
信義區,房地(土地+建物),臺北市信義區松隆路51~100號,19.5,住,,,10108,土地1建物1車位0,一層,4,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,,39.13,0,0,0,無,無,無,23000,588,,0,0,307419,2770849
內湖區,建物,臺北市內湖區成功路四段201~250號,24.18,住,,,10109,土地0建物1車位0,一層,5,店面(店鋪),商業用,鋼筋混凝土造,0740712,24.99,1,1,1,有,無,有,43000,1721,,0,0,310150,2775301
大安區,建物,臺北市大安區和平東路三段101~150號,721,商,,,10108,土地0建物1車位0,八層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0930409,38.28,1,1,1,有,有,有,24000,627,,0,0,305664,2768578
士林區,房地(土地+建物),臺北市士林區忠誠路一段51~100號,36.86,住,,,10108,土地1建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0721221,162.28,3,2,2,有,有,有,33000,203,,0,0,303276,2777457
士林區,建物,臺北市士林區福志路51~100號,0,住,,,10108,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0910109,69.19,3,1,1,有,有,有,32000,462,,0,0,303439,2776834
大安區,房地(土地+建物),臺北市大安區仁愛路四段301~350號,31.34,其他,,,10108,土地1建物1車位0,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0701223,211.59,4,2,2,有,有,有,72000,340,,0,0,306026,2770002
大安區,房地(土地+建物),臺北市大安區金山南路二段185巷1~50號,27.8,住,,,10108,土地1建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,97.18,3,2,2,有,無,無,38000,391,,0,0,303246,2768990
松山區,房地(土地+建物),臺北市松山區健康路325巷6弄1~50號,30.48,住,,,10108,土地1建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0751020,94.38,3,2,2,有,無,有,23000,244,,0,0,307309,2771965
松山區,房地(土地+建物),臺北市松山區敦化北路155巷1~50號,26.94,住,,,10108,土地1建物2車位0,地下一層,6,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0840422,459.04,0,1,2,有,有,無,77778,169,,0,0,305568,2771867
