鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),使用分區或編定,非都市土地使用分區,非都市土地使用地,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),交易標的橫坐標,交易標的縱坐標
大安區,房地(土地+建物),臺北市大安區和平東路三段1巷72弄1~50號,19.39,住,,,10106,土地1建物2車位0,五層,17,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,740522,100.98,3,2,1,有,有,18680000,184999,,0,0,305071,2768778
中正區,房地(土地+建物),臺北市中正區忠孝東路二段101~150號,8.46,商,,,10107,土地3建物1車位0,九層,12,辦公商業大樓,商業用,鋼筋混凝土造,710408,93.42,0,0,0,有,有,20300000,217307,,0,0,303672,2770532
大同區,土地,橋北段二小段601~650地號,5.5,其他,,,10107,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,132096,24017,,0,0,301668,2772964
大同區,房地(土地+建物),臺北市大同區重慶北路一段51~100號,3.88,商,,,10107,土地4建物1車位0,六層,11,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,651207,36.74,1,1,1,有,有,4200000,114317,,0,0,301892,2771739
內湖區,房地(土地+建物),臺北市內湖區民權東路六段90巷6弄1~50號,32.41,住,,,10107,土地1建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,691114,104.11,3,1,1,有,無,14000000,134473,,0,0,309114,2773443
信義區,土地,福德段一小段651~700地號,9.37,其他,,,10107,土地3建物0車位0,,,其他,,,,0,0,0,0,有,無,255000,27213,,0,0,309235,2770313
松山區,土地,寶清段一小段51~100地號,1.02,其他,,,10107,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,50000,49073,,0,0,307224,2772145
中山區,土地,長安段三小段251~300地號,4.2,其他,,,10107,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,1900000,452381,,0,0,303843,2771492
萬華區,車位,臺北市萬華區西園路一段51~100號,0.14,商,,,10107,土地0建物0車位1,一層,15,其他,見其他登記事項,鋼筋混凝土造,961119,18.81,0,0,0,有,無,2100000,,坡道平面,0,2100000,300432,2770195
中山區,房地(土地+建物),臺北市中山區吉林路351~400號,6.31,住,,,10107,土地1建物1車位0,六層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,681219,38.56,1,0,1,有,有,4050000,105030,,0,0,303544,2773080
中山區,房地(土地+建物),臺北市中山區合江街1~50號,10,住,,,10107,土地1建物1車位0,二層,6,套房(1房1廳1衛),住家用,鋼筋混凝土造,860526,37.33,1,1,1,有,有,5960000,159670,,0,0,304419,2772026
中山區,房地(土地+建物),臺北市中山區中山北路二段183巷1~50號,30.53,商,,,10107,土地1建物1車位0,二層,7,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,750124,164.78,2,1,1,有,有,20200000,122585,,0,0,302883,2772917
中正區,房地(土地+建物),臺北市中正區南昌路二段201~250號,10.21,其他,,,10107,土地2建物1車位0,四層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,880524,87.26,0,0,0,無,有,14750000,84518,,0,0,302943,2768452
中正區,房地(土地+建物),臺北市中正區南昌路二段201~250號,8.39,其他,,,10107,土地2建物1車位0,四層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,880524,71.69,0,0,0,無,有,14750000,102868,,0,0,302938,2768457
士林區,土地,芝蘭段三小段51~100地號,"1,433.67",其他,,,10106,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,9000000,6278,,0,0,305413,2778325
萬華區,房地(土地+建物),臺北市萬華區萬大路423巷28弄1~50號,33.43,住,,,10106,土地1建物1車位0,六層,14,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,870824,146.24,2,1,1,有,有,16260000,111187,,0,0,300532,2768133
士林區,房地(土地+建物),臺北市士林區承德路四段10巷1~50號,31.2,住,,,10107,土地1建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,680828,105.04,2,1,1,有,無,19000000,180883,,0,0,302601,2774703
大安區,房地(土地+建物),臺北市大安區敦化南路一段270巷1~50號,48,商,,,10107,土地1建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,610830,130.38,3,2,2,有,無,28000000,107378,,0,0,305246,2770196
大安區,車位,臺北市大安區永康街7巷1~50號,0.1,商,,,10107,土地0建物0車位2,一層,15,其他,見其他登記事項,鋼筋混凝土造,970326,4.59,0,0,0,有,有,1600000,,塔式車位,0,1600000,303640,2769541
大安區,車位,臺北市大安區永康街7巷1~50號,0.05,商,,,10107,土地0建物0車位1,一層,15,其他,見其他登記事項,鋼筋混凝土造,970326,2.3,0,0,0,有,有,850000,,塔式車位,0,850000,303648,2769532
大安區,車位,臺北市大安區永康街7巷1~50號,0.05,商,,,10107,土地0建物0車位1,一層,15,其他,見其他登記事項,鋼筋混凝土造,970326,2.3,0,0,0,有,有,850000,,塔式車位,0,850000,303647,2769533
大安區,土地,懷生段二小段551~600地號,20.72,其他,,,10107,土地3建物0車位0,,,其他,,,,0,0,0,0,有,無,1146602,55332,,0,0,304371,2769644
大安區,房地(土地+建物),臺北市大安區辛亥路二段1~50號,10.43,住,,,10105,土地1建物1車位0,十二層,25,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,780221,158.02,3,2,2,有,有,38180000,241612,,0,0,304147,2768413
松山區,房地(土地+建物),臺北市松山區臺北市松山區光復北路1~50號,13.37,住,,,10107,土地9建物1車位0,一層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,780216,112.49,3,2,2,有,無,18800000,167123,,0,0,306275,2771259
士林區,房地(土地+建物),臺北市士林區中山北路七段190巷4弄1~50號,16.01,住,,,10107,土地2建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,660804,77.72,2,2,2,有,無,13300000,171127,,0,0,303785,2779657
北投區,土地,桃源段二小段401~450地號,7,其他,,,10107,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,200000,28571,,0,0,298898,2781313
中山區,房地(土地+建物),臺北市中山區林森北路485巷1~50號,17.65,商,,,10107,土地3建物1車位0,三層,7,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,670606,101.64,2,2,2,有,有,14800000,145611,,0,0,303092,2772642
內湖區,房地(土地+建物)+車位,臺北市內湖區行善路59巷20弄1~50號,363.91,住,,,10107,土地1建物6車位6,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010704,"1,356.98",0,0,0,無,有,225833092,169051,升降平面,90.3,11700000,308414,2772315
內湖區,房地(土地+建物),臺北市內湖區康樂街136巷15弄1~50號,26.79,住,,,10107,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,721103,95.93,3,2,2,有,無,9400000,97988,,0,0,312374,2773902
信義區,房地(土地+建物),臺北市信義區基隆路一段101~150號,3.81,商,,,10107,土地2建物1車位0,四層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,950802,32.83,1,1,1,有,有,9500000,289344,,0,0,307205,2770759
士林區,房地(土地+建物),臺北市士林區承德路四段58巷51~100號,32.09,住,,,10102,土地1建物1車位0,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010301,120.21,2,2,1,有,無,21500000,178855,,0,0,302560,2774983
北投區,房地(土地+建物),臺北市北投區尊賢街249巷1~50號,31.5,住,,,10106,土地1建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,630905,93,3,2,2,有,無,12100000,130108,,0,0,300972,2778855
大安區,土地,通化段三小段801~850地號,28,其他,,,10107,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,750000,26786,,0,0,305787,2768805
文山區,房地(土地+建物)+車位,臺北市文山區秀明路一段101~150號,25.36,住,,,10107,土地1建物2車位1,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960208,158.6,3,2,2,有,有,18800000,118537,坡道平面,35.99,0,307328,2764899
中正區,房地(土地+建物),臺北市中正區中華路二段75巷1弄1~50號,21.34,住,,,10107,土地2建物1車位0,一層，平台,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,650713,130.62,0,0,0,無,無,23080000,176696,,0,0,301117,2769631
中正區,車位,臺北市中正區南昌路一段24巷1~50號,0.16,住,,,10107,土地0建物0車位1,一層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,970509,14.77,0,0,0,有,有,1680000,,升降機械,14.02,1680000,302053,2769403
